onset	duration	section_num	subject_num
25.8877	0.5	12	sub-13
26.893	0.5	12	sub-13
27.8968	0.5	12	sub-13
28.9063	0.5	12	sub-13
29.9122	0.5	12	sub-13
30.9096	0.5	12	sub-13
31.91	0.5	12	sub-13
32.9108	0.5	12	sub-13
33.9116	0.5	12	sub-13
34.9126	0.5	12	sub-13
35.9094	0.5	12	sub-13
36.9225	0.5	12	sub-13
37.9242	0.5	12	sub-13
38.9284	0.5	12	sub-13
39.9294	0.5	12	sub-13
40.9261	0.5	12	sub-13
41.9272	0.5	12	sub-13
42.9277	0.5	12	sub-13
43.9359	0.5	12	sub-13
44.9368	0.5	12	sub-13
45.9342	0.5	12	sub-13
46.9354	0.5	12	sub-13
47.9357	0.5	12	sub-13
48.9454	0.5	12	sub-13
49.9465	0.5	12	sub-13
50.9434	0.5	12	sub-13
51.9438	0.5	12	sub-13
52.9447	0.5	12	sub-13
53.9458	0.5	12	sub-13
54.9467	0.5	12	sub-13
55.9435	0.5	12	sub-13
56.9441	0.5	12	sub-13
57.9449	0.5	12	sub-13
58.9542	0.5	12	sub-13
59.9572	0.5	12	sub-13
60.9516	0.5	12	sub-13
61.9548	0.5	12	sub-13
62.9518	0.5	12	sub-13
63.9546	0.5	12	sub-13
64.9535	0.5	12	sub-13
65.9531	0.5	12	sub-13
66.9536	0.5	12	sub-13
67.9538	0.5	12	sub-13
68.9626	0.5	12	sub-13
69.9637	0.5	12	sub-13
70.9606	0.5	12	sub-13
71.9611	0.5	12	sub-13
72.9619	0.5	12	sub-13
73.9628	0.5	12	sub-13
74.9636	0.5	12	sub-13
75.9603	0.5	12	sub-13
76.9613	0.5	12	sub-13
77.9621	0.5	12	sub-13
78.9731	0.5	12	sub-13
79.9742	0.5	12	sub-13
80.9708	0.5	12	sub-13
81.9705	0.5	12	sub-13
82.9701	0.5	12	sub-13
83.9707	0.5	12	sub-13
84.9712	0.5	12	sub-13
85.9703	0.5	12	sub-13
86.9674	0.5	12	sub-13
87.9725	0.5	12	sub-13
88.9798	0.5	12	sub-13
89.9808	0.5	12	sub-13
90.9778	0.5	12	sub-13
91.9784	0.5	12	sub-13
92.9795	0.5	12	sub-13
93.98	0.5	12	sub-13
94.9808	0.5	12	sub-13
95.9776	0.5	12	sub-13
96.9786	0.5	12	sub-13
97.9795	0.5	12	sub-13
98.9895	0.5	12	sub-13
99.9895	0.5	12	sub-13
100.9837	0.5	12	sub-13
101.9874	0.5	12	sub-13
102.9872	0.5	12	sub-13
103.9864	0.5	12	sub-13
104.9906	0.5	12	sub-13
105.986	0.5	12	sub-13
106.9857	0.5	12	sub-13
107.9874	0.5	12	sub-13
108.9971	0.5	12	sub-13
109.9981	0.5	12	sub-13
110.995	0.5	12	sub-13
111.9955	0.5	12	sub-13
112.9966	0.5	12	sub-13
113.9974	0.5	12	sub-13
114.9982	0.5	12	sub-13
115.995	0.5	12	sub-13
116.9957	0.5	12	sub-13
117.9964	0.5	12	sub-13
119.008	0.5	12	sub-13
120.0067	0.5	12	sub-13
121.0024	0.5	12	sub-13
122.0046	0.5	12	sub-13
123.0069	0.5	12	sub-13
124.0061	0.5	12	sub-13
125.006	0.5	12	sub-13
126.0017	0.5	12	sub-13
127.0032	0.5	12	sub-13
128.005	0.5	12	sub-13
129.0142	0.5	12	sub-13
130.0153	0.5	12	sub-13
131.0118	0.5	12	sub-13
154.8188	0.5	19	sub-13
155.8225	0.5	19	sub-13
156.8226	0.5	19	sub-13
157.8235	0.5	19	sub-13
158.8227	0.5	19	sub-13
159.8325	0.5	19	sub-13
160.8515	0.5	19	sub-13
161.8557	0.5	19	sub-13
162.859	0.5	19	sub-13
163.8579	0.5	19	sub-13
164.8607	0.5	19	sub-13
165.86	0.5	19	sub-13
166.8577	0.5	19	sub-13
167.8574	0.5	19	sub-13
168.8579	0.5	19	sub-13
169.8658	0.5	19	sub-13
170.867	0.5	19	sub-13
171.8635	0.5	19	sub-13
172.8646	0.5	19	sub-13
173.8651	0.5	19	sub-13
174.8661	0.5	19	sub-13
175.8671	0.5	19	sub-13
176.864	0.5	19	sub-13
177.8644	0.5	19	sub-13
178.8652	0.5	19	sub-13
179.879	0.5	19	sub-13
180.8741	0.5	19	sub-13
181.8738	0.5	19	sub-13
182.8754	0.5	19	sub-13
183.8733	0.5	19	sub-13
184.8759	0.5	19	sub-13
185.876	0.5	19	sub-13
186.8723	0.5	19	sub-13
187.8755	0.5	19	sub-13
210.9838	0.5	20	sub-13
211.9813	0.5	20	sub-13
212.9824	0.5	20	sub-13
213.9832	0.5	20	sub-13
214.9837	0.5	20	sub-13
215.9847	0.5	20	sub-13
216.9814	0.5	20	sub-13
217.9823	0.5	20	sub-13
218.9834	0.5	20	sub-13
219.9933	0.5	20	sub-13
220.9929	0.5	20	sub-13
221.9909	0.5	20	sub-13
222.9891	0.5	20	sub-13
223.9924	0.5	20	sub-13
224.993	0.5	20	sub-13
225.9924	0.5	20	sub-13
226.9901	0.5	20	sub-13
227.9901	0.5	20	sub-13
228.9906	0.5	20	sub-13
230.0008	0.5	20	sub-13
231.0017	0.5	20	sub-13
231.9984	0.5	20	sub-13
232.9992	0.5	20	sub-13
234.0002	0.5	20	sub-13
235.0009	0.5	20	sub-13
236.0018	0.5	20	sub-13
236.9989	0.5	20	sub-13
237.9993	0.5	20	sub-13
239.0002	0.5	20	sub-13
240.0085	0.5	20	sub-13
241.012	0.5	20	sub-13
242.0081	0.5	20	sub-13
243.0078	0.5	20	sub-13
244.0071	0.5	20	sub-13
245.0146	0.5	20	sub-13
246.0176	0.5	20	sub-13
247.0159	0.5	20	sub-13
248.0195	0.5	20	sub-13
249.0267	0.5	20	sub-13
250.0349	0.5	20	sub-13
251.0357	0.5	20	sub-13
252.0327	0.5	20	sub-13
253.0336	0.5	20	sub-13
254.0341	0.5	20	sub-13
255.0349	0.5	20	sub-13
256.0358	0.5	20	sub-13
257.0324	0.5	20	sub-13
258.0332	0.5	20	sub-13
259.034	0.5	20	sub-13
260.0466	0.5	20	sub-13
261.0446	0.5	20	sub-13
262.0392	0.5	20	sub-13
263.0436	0.5	20	sub-13
264.0415	0.5	20	sub-13
265.0443	0.5	20	sub-13
266.0478	0.5	20	sub-13
267.0438	0.5	20	sub-13
268.0399	0.5	20	sub-13
269.0405	0.5	20	sub-13
270.0515	0.5	20	sub-13
271.0526	0.5	20	sub-13
272.0498	0.5	20	sub-13
273.0502	0.5	20	sub-13
274.0512	0.5	20	sub-13
275.0519	0.5	20	sub-13
276.0529	0.5	20	sub-13
277.0495	0.5	20	sub-13
278.0503	0.5	20	sub-13
279.0515	0.5	20	sub-13
280.0523	0.5	20	sub-13
281.0617	0.5	20	sub-13
282.0566	0.5	20	sub-13
283.0582	0.5	20	sub-13
284.0581	0.5	20	sub-13
285.0614	0.5	20	sub-13
286.0633	0.5	20	sub-13
287.0579	0.5	20	sub-13
288.058	0.5	20	sub-13
289.0594	0.5	20	sub-13
290.0608	0.5	20	sub-13
291.0697	0.5	20	sub-13
292.0664	0.5	20	sub-13
293.0677	0.5	20	sub-13
294.0682	0.5	20	sub-13
295.0692	0.5	20	sub-13
296.0701	0.5	20	sub-13
297.067	0.5	20	sub-13
320.2256	0.5	16	sub-13
321.2372	0.5	16	sub-13
322.2342	0.5	16	sub-13
323.2349	0.5	16	sub-13
324.2357	0.5	16	sub-13
325.2365	0.5	16	sub-13
326.2377	0.5	16	sub-13
327.2347	0.5	16	sub-13
328.2537	0.5	16	sub-13
329.2711	0.5	16	sub-13
330.2702	0.5	16	sub-13
331.2713	0.5	16	sub-13
332.2678	0.5	16	sub-13
333.2685	0.5	16	sub-13
