participant_id	age	sex	comprehension_questions	total_quiz_questions
sub-01	35	F	85	20
sub-02	20	M	100	20
sub-03	22	F	90	20
sub-04	22	M	80	20
sub-05	20	M	90	20
sub-06	19	M	94	20
sub-07	20	M	90	20
sub-08	18	M	65	20
sub-09	25	M	95	20
sub-10	19	F	85	20
sub-11	19	M	90	20
sub-12	21	M	95	20
sub-13	19	M	90	20
sub-14	19	F	80	20
sub-15	21	F	90	20
sub-16	19	M	85	20
sub-17	20	F	80	20
sub-18	19	F	90	20
sub-19	19	F	95	20
sub-20	21	M	95	20
sub-21	19	F	80	20
sub-23	20	M	80	20
sub-24	20	F	80	20
sub-25	19	F	75	20
sub-26	19	F	65	20
sub-27	21	M	95	20
sub-28	20	F	70	20
sub-29	19	F	75	20
sub-30	20	F	85	20
sub-31	20	M	80	20
sub-32	27	F	65	20
sub-33	21	F	90	20
sub-34	23	F	65	20
sub-35	20	M	80	20
sub-36	19	F	80	20
sub-38	18	F	80	20
sub-39	21	M	95	20
sub-40	21	F	70	20
sub-41	19	M	95	20
sub-43	18	M	95	20
sub-44	19	F	80	20
